Title,Views,Upload_data,Video_link,Thumbnail_link
Journey from Tier 3 college to Microsoft | GeeksforGeeks,2.7K views,11 months ago,/watch?v=LQh8EyXXkuU,https://i.ytimg.com/vi/LQh8EyXXkuU/hqdefault.jpg
Geeks Summer Carnival 2022 | GeeksforGeeks,3.5K views,11 months ago,/watch?v=JddfBLjDgwY,https://i.ytimg.com/vi/JddfBLjDgwY/hqdefault.jpg
Journey from Tier 3 to JusPay | GeeksforGeeks,1.9K views,11 months ago,/watch?v=1Ku1DvEYghE,https://i.ytimg.com/vi/1Ku1DvEYghE/hqdefault.jpg
"Geeks Summer Carnival | 5th To 11th April, 2022 | GeeksforGeeks",4.3K views,11 months ago,/watch?v=-Cb5CpuDqZg,https://i.ytimg.com/vi/-Cb5CpuDqZg/hqdefault.jpg
Geeks Summer Carnival 2022 | 5th April- 11th April | GeeksforGeeks,24K views,11 months ago,/watch?v=rgoYNlBXHGE,https://i.ytimg.com/vi/rgoYNlBXHGE/hqdefault.jpg
Interview experience at Flipkart | GeeksforGeeks,1.7K views,11 months ago,/watch?v=bIZIzgPox4U,https://i.ytimg.com/vi/bIZIzgPox4U/hqdefault.jpg
Learn Data Structures and Algorithms | GeeksforGeeks,33K views,11 months ago,/watch?v=EDPTs9Cr6zU,https://i.ytimg.com/vi/EDPTs9Cr6zU/hqdefault.jpg
Get Your Tickets To The Geeks Summer Carnival | GeeksforGeeks,27K views,11 months ago,/watch?v=4h8FpdjoEW4,https://i.ytimg.com/vi/4h8FpdjoEW4/hqdefault.jpg
Meet Some More Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,412 views,1 year ago,/watch?v=O59Ur0x97zQ,https://i.ytimg.com/vi/O59Ur0x97zQ/hqdefault.jpg
Meet The Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,816 views,1 year ago,/watch?v=UeSRciSwVls,https://i.ytimg.com/vi/UeSRciSwVls/hqdefault.jpg
Conversation With Young Achievers | Meet the winners of Bi-Wizard Coding Contest | GeeksforGeeks,1.6K views,1 year ago,/watch?v=CVhLbQEKx24,https://i.ytimg.com/vi/CVhLbQEKx24/hqdefault.jpg
Upgrade yourself In 29 Days | GeeksforGeeks,2.1K views,1 year ago,/watch?v=dSZF-zG2jac,https://i.ytimg.com/vi/dSZF-zG2jac/hqdefault.jpg
Master Bootcamp - Data Science (Live) | March 24-28 | GeeksforGeeks,2.5K views,1 year ago,/watch?v=aKtp-hYN9pU,https://i.ytimg.com/vi/aKtp-hYN9pU/hqdefault.jpg
Campus Mantri Program by GeeksforGeeks,1.7K views,1 year ago,/watch?v=kT6g0iOOFIg,https://i.ytimg.com/vi/kT6g0iOOFIg/hqdefault.jpg
Add DSA to your routine | GeeksforGeeks,8.8K views,1 year ago,/watch?v=_yfcJprhxaI,https://i.ytimg.com/vi/_yfcJprhxaI/hqdefault.jpg
"Believe In Yourself | Code India Code | March, 6th",1.8K views,1 year ago,/watch?v=uGiJm2fL4YQ,https://i.ytimg.com/vi/uGiJm2fL4YQ/hqdefault.jpg
Find Your Purpose | Code India Code | GeeksforGeeks,1.8K views,1 year ago,/watch?v=-RWVCqjGxCE,https://i.ytimg.com/vi/-RWVCqjGxCE/hqdefault.jpg
Each Best Has A Story | Code India Code | March 6,1.2K views,1 year ago,/watch?v=_lLU7C69l30,https://i.ytimg.com/vi/_lLU7C69l30/hqdefault.jpg
5 Coding Myths that You Must Know! | GeeksforGeeks,1.6K views,1 year ago,/watch?v=zjKQXCJHy0Y,https://i.ytimg.com/vi/zjKQXCJHy0Y/hqdefault.jpg
"Geeks Premier League | Write, Learn & Earn With GeeksforGeeks",794 views,1 year ago,/watch?v=4P17Dla9BLs,https://i.ytimg.com/vi/4P17Dla9BLs/hqdefault.jpg
Code India Code | Biggest Coding Contest Ever By GeeksforGeeks,1.5K views,1 year ago,/watch?v=jfMrDycpE7w,https://i.ytimg.com/vi/jfMrDycpE7w/hqdefault.jpg
Bi-Wizard 2.0 | Coding Contest For School Students | GeeksforGeeks,16K views,1 year ago,/watch?v=SnogQvL4DUw,https://i.ytimg.com/vi/SnogQvL4DUw/hqdefault.jpg
GATE CS All-India Scholarship Test | GeeksforGeeks,34K views,1 year ago,/watch?v=lQwp_5Hi76Q,https://i.ytimg.com/vi/lQwp_5Hi76Q/hqdefault.jpg
Doubt Support Program | First Time Offer | GeeksforGeeks,3.6K views,1 year ago,/watch?v=hGpGwvCYsKQ,https://i.ytimg.com/vi/hGpGwvCYsKQ/hqdefault.jpg
Job-A-Thon | Monthly Hiring Challenges | GeeksforGeeks,21K views,1 year ago,/watch?v=GQvHxwnnV5A,https://i.ytimg.com/vi/GQvHxwnnV5A/hqdefault.jpg
"GATE Batch 2023 | Launching March, 21 | Register Now",2K views,1 year ago,/watch?v=ripxSckhlAU,https://i.ytimg.com/vi/ripxSckhlAU/hqdefault.jpg
GATE CS All India Mock- 3 | GeeksforGeeks,6.7K views,1 year ago,/watch?v=4vEDkpmwX1E,https://i.ytimg.com/vi/4vEDkpmwX1E/hqdefault.jpg
Bi-Wizard School Coding Contest | GeeksforGeeks School,2.5K views,1 year ago,/watch?v=E5EHtZRa5w0,https://i.ytimg.com/vi/E5EHtZRa5w0/hqdefault.jpg
Job-A-Thon 5 | GeeksforGeeks,1K views,1 year ago,/watch?v=JZMSCu86N9M,https://i.ytimg.com/vi/JZMSCu86N9M/hqdefault.jpg
Algo Geek- DSA Writing Contest | GeeksforGeeks,1K views,1 year ago,/watch?v=RTwOPh1ni8Q,https://i.ytimg.com/vi/RTwOPh1ni8Q/hqdefault.jpg
Job-A-Thon 5 | Hiring Challenge By GeeksforGeeks,1.2K views,1 year ago,/watch?v=r2btDFbkzqo,https://i.ytimg.com/vi/r2btDFbkzqo/hqdefault.jpg
GATE Capsule DAY-3 | Sakshi Singhal | GeeksforGeeks,671 views,1 year ago,/watch?v=Bjed-kudYkU,https://i.ytimg.com/vi/Bjed-kudYkU/hqdefault.jpg
GATE CS All India Mock- 2 | GeeksforGeeks,2.9K views,1 year ago,/watch?v=N7yfCj_Xl08,https://i.ytimg.com/vi/N7yfCj_Xl08/hqdefault.jpg
GATE Capsule Day-2 | Mukesh Kumar | GeeksforGeeks,536 views,1 year ago,/watch?v=OOztpb3-JEg,https://i.ytimg.com/vi/OOztpb3-JEg/hqdefault.jpg
GATE Capsule DAY-1 | Mukesh Kumar | GeeksforGeeks,1K views,1 year ago,/watch?v=DIW2ZITcONk,https://i.ytimg.com/vi/DIW2ZITcONk/hqdefault.jpg
